Name,Alt_Name,Acronym,Country_Area,Latitude,Longitude
Acanceh,,ACC,"Mexico, Yucatàn (MX-YUC)",20.813087,-89.45246
Acanmul,,ACN," Mexico, Campeche (MX-CAM)",19.90093,-90.3254
Acasaguastlan ,San Agustin Acasaguastlan = Guaytan,,"Guatemala, El Progreso (GT-PR)",14.928033,-89.962406
Acte,Acté = Akte,ACT,"Guatemala, Petén (GT-PE)",17.0755,-89.939
Actun Balam,,," Belize, Cayo (BZ-CY)",16.45,-88.58
Actun Ch'on,Actun Chon = Actun Chón,ATC,"Mexico, Yucatàn (MX-YUC)",20.29668,-89.423006
Actun Chapat,,ACP," Belize, Cayo (BZ-CY)",17.03631,-89.08801
Actun Dzib,Actun Tz'iib = Actun Tz'ib,," Belize, Toledo (BZ-TOL)",16.197779,-89.057019
Actun Neko,,," Belize, Cayo (BZ-CY)",17.18516,-88.67501
Actun Tunichil Muknal,Actun Tunichil Mucnal = Tunichil Muknal,ATM," Belize, Cayo (BZ-CY)",17.11356,-88.86394
Actuncan,Actun Can,ATU," Belize, Cayo (BZ-CY)",17.107507,-89.140828
Acum,,,"Mexico, Yucatàn (MX-YUC)",20.253525,-89.456318
Aguacate,,AGA,"Guatemala, Petén (GT-PE)",17.149,-89.2025
Aguas Calientes,,AGC,"Guatemala, Petén (GT-PE)",16.56167,-90.38333
Aguateca,,AGT,"Guatemala, Petén (GT-PE)",16.395316,-90.204668
Akalpeten,,," Mexico, Campeche (MX-CAM)",18.415,-89.84139
Ake,,AKE,"Mexico, Yucatàn (MX-YUC)",20.947223,-89.30158
Aktun Uxil,Cueva de las Tres Marias = Uxil,,"Mexico, Yucatàn (MX-YUC)",20.34,-89.58111
Aktun Xch'omil Ch'en,Actun Xch'omil Ch'en = Actun Xch'omil = Xch'omil Ch'en,,"Mexico, Yucatàn (MX-YUC)",20.70775,-88.262739
Aktunkin,,," Mexico, Campeche (MX-CAM)",18.21732,-89.47427
Akumal,Ocumal,AKM," Mexico, Quintana Roo (MX-ROO)",20.40088,-87.3198
Almuchil,,AMC," Mexico, Campeche (MX-CAM)",20.152959,-89.640334
Altamira,Alta Mira,ALM," Mexico, Campeche (MX-CAM)",17.98889,-89.54472
Altamira,,ALT,"Mexico, Chiapas (MX-CHP)",15.35,-92.54599
Altamirano,,,"Mexico, Chiapas (MX-CHP)",16.40,-92.35028
Altar de los Reyes,,ALR," Mexico, Campeche (MX-CAM)",17.99042,-89.40622
Altar de Sacrificios,,ALS,"Guatemala, Petén (GT-PE)",16.473785,-90.525184
Altun Ha,Altun-Ha,ALH,"Belize, Belize (BZ-BZ)",17.76394,-88.34706
Alvaro Obregon,Álvaro Obregón = Alvaro Obregón = Obregón,OBR,"Mexico, Tabasco (MX-TAB)",17.290197,-91.229206
Anonal,,ANL,"Guatemala, Petén (GT-PE)",16.51845,-90.11464
Arroyo de Piedra,Arroyo Piedra = Dos Piedras,ARP,"Guatemala, Petén (GT-PE)",16.451927,-90.269997
Bajo de la Joventud,Bajo Juventud,,"Guatemala, Petén (GT-PE)",17.403332,-89.625181
Baking Pot,,BKP," Belize, Cayo (BZ-CY)",17.198485,-89.009253
Bakna,,BKN," Mexico, Campeche (MX-CAM)",19.8415,-90.08178
Balakbal,,BLK," Mexico, Campeche (MX-CAM)",17.88222,-89.585
Balamku,,BAL," Mexico, Campeche (MX-CAM)",18.556518,-89.944885
Balamtun,,BLM,"Guatemala, Petén (GT-PE)",17.06617,-90.07267
Becan,,BCN," Mexico, Campeche (MX-CAM)",18.517393,-89.466701
Bedrock,,,"Belize, Orange Walk (BZ-OW)",17.943173,-88.986627
Bejucal,,BJC,"Guatemala, Petén (GT-PE)",17.28211,-89.76916
Bellote (Island),El Bellote,BLL,"Mexico, Tabasco (MX-TAB)",18.41861,-93.12175
Bilimkok,,BMK," Mexico, Campeche (MX-CAM)",20.11,-89.84117
Blackman Eddy,,BED," Belize, Cayo (BZ-CY)",17.2167,-88.9167
Blue Creek,,,"Belize, Orange Walk (BZ-OW)",17.867988,-88.89345
Bonampak,,BPK,"Mexico, Chiapas (MX-CHP)",16.704,-91.065
Buenavista del Cayo,Buenavista de Cayo = Buenavista,BVC," Belize, Cayo (BZ-CY)",17.13475,-89.12976
Bugambilias,,," Mexico, Quintana Roo (MX-ROO)",18.33,-88.21243
Caactun,,CAA,"Mexico, Yucatàn (MX-YUC)",20.23,-88.4304
Cahal Pech,,CLP," Belize, Cayo (BZ-CY)",17.145956,-89.073708
Calakmul,,CLK," Mexico, Campeche (MX-CAM)",18.105612,-89.810328
Canancax,,CNX,"Mexico, Chiapas (MX-CHP)",16.85975,-91.18561
Cancuen,,CNC,"Guatemala, Petén (GT-PE)",16.01469,-90.03842
Candzibaantun,,CDZ," Mexico, Campeche (MX-CAM)",17.85172,-89.71156
Cap'eldzibtunichna,,CDZ," Mexico, Campeche (MX-CAM)",20.24405,-89.97677
Caracol,,CRC," Belize, Cayo (BZ-CY)",16.763237,-89.117781
Chacmultun,,CHM,"Mexico, Yucatàn (MX-YUC)",20.17278,-89.345
Chactun,,," Mexico, Campeche (MX-CAM)",18.72428,-89.52733
Champerico,,CHP," Mexico, Campeche (MX-CAM)",17.91422,-89.49914
Chapatengo,,,"Mexico, Chiapas (MX-CHP)",16.117476,-92.532619
Cheyokolna,,," Mexico, Campeche (MX-CAM)",17.880833,-89.815833
Chiapa de Corzo,,CPC,"Mexico, Chiapas (MX-CHP)",16.702936,-93.003933
Chicanna,,CHC," Mexico, Campeche (MX-CAM)",18.506936,-89.486376
Chichen Itza,,CHN,"Mexico, Yucatàn (MX-YUC)",20.683121,-88.569032
Chinikiha,,CNK,"Mexico, Tabasco (MX-TAB)",17.432832,-91.579593
Chinkultic,,CKL,"Mexico, Chiapas (MX-CHP)",16.12894,-91.78492
Chochkitam ,Tzotzkitam = Chochquitan = Chosquitan = BA-25,CKM,"Guatemala, Petén (GT-PE)",17.62419,-89.19963
Chunhuitz,,CNZ,"Guatemala, Petén (GT-PE)",17.16921,-89.21635
CivalSibal,,CVL,"Guatemala, Petén (GT-PE)",17.3675,-89.259167
CobaNohoch Mul,,COB,"Mexico, Quintana Roo (MX-ROO)",20.49004,-87.732332
Comalcalco,,CML,"Mexico, Tabasco (MX-TAB)",18.28001,-93.201341
Copan,,CPN,"Honduras, Cop�n (HN-CP)",14.837622,-89.141233
Cueva de Galon,Cueva de las Pinturas = Cobanerita,CVG,"Guatemala, Petén (GT-PE)",16.89534,-90.00454
Cueva de la Virgencita,,," Mexico, Campeche (MX-CAM)",18.253351,-89.277256
Cuychen,,CUY," Belize, Cayo (BZ-CY)",17.01805,-89.059982
Dos Caobas,,DCB,"Mexico, Chiapas (MX-CHP)",16.798796,-90.981059
Dos Pilas,Dos Pozos,DPL,"Guatemala, Petén (GT-PE)",16.44583,-90.29583
Dzehkabtun,,DZK," Mexico, Campeche (MX-CAM)",19.693113,-89.910491
Dzibanmac,,," Mexico, Campeche (MX-CAM)",18.28,-89.23368
Dzibilchaltun,,DBC,"Mexico, Yucatàn (MX-YUC)",21.091357,-89.596431
Dzibilnocac,,DBN," Mexico, Campeche (MX-CAM)",19.578209,-89.594867
Dzilam,Dzilam Gonzalez,DZL,"Mexico, Yucatàn (MX-YUC)",21.28144,-88.92994
Eduardo Quiroz Cave,,," Belize, Cayo (BZ-CY)",16.75,-88.883333
Edzna,Etzna,ETZ," Mexico, Campeche (MX-CAM)",19.597036,-90.230109
Ek Balam,Ek' Balam = Ek' B'ahlam = Ekbalam,EKB,"Mexico, Yucatàn (MX-YUC)",20.890692,-88.136312
"Abra, El",,ABR,"Honduras, Cop�n (HN-CP)",15.103761,-88.80487
"Amparo, El",,AMP,"Mexico, Chiapas (MX-CHP)",16.5344,-91.82478
"Camalote Dolores, El",El Camalote = El Camalote/Dolores,CAD,"Guatemala, Petén (GT-PE)",16.77167,-89.46
"Cayo, El",,CAY,"Mexico, Chiapas (MX-CHP)",17.06436,-91.21247
"Chicozapote, El",,CZP,"Mexico, Chiapas (MX-CHP)",16.95522,-91.11824
"Chilonche, El",Chilonche,CHT,"Guatemala, Petén (GT-PE)",16.813609,-89.560915
"Chorro, El",San Lucas = El Pato = La Armenia,CRO,"Guatemala, Petén (GT-PE)",16.642167,-90.574333
"Encanto, El",,ENC,"Guatemala, Petén (GT-PE)",17.273611,-89.562778
"Excavado, El",,EXC,"Guatemala, Petén (GT-PE)",16.425734,-90.227732
"Gallinero, El",,GAL," Mexico, Campeche (MX-CAM)",17.827556,-89.48325
"Mameyal, El",,MAM," Mexico, Campeche (MX-CAM)",17.981667,-89.266667
"Manantial, El",Corosal = Corozal = El Tablero = Ch'anal,MAN,"Guatemala, Petén (GT-PE)",17.69057,-89.43583
"Meco, El",,MEC," Mexico, Quintana Roo (MX-ROO)",21.211155,-86.803912
"Mirador, El",,MRD,"Guatemala, Petén (GT-PE)",17.756111,-89.92088
"Pabellón, El",,PAB,"Mexico, Chiapas (MX-CHP)",16.472121,-90.57001
"Palmar, El",,PLM," Mexico, Campeche (MX-CAM)",18.077787,-89.337349
"Peru, El",Waka',PRU,"Guatemala, Petén (GT-PE)",17.26606,-90.35578
"Portón, El",,PRT,"Guatemala, Baja Verapaz (GT-BV)",15.04745,-90.26079
"Porvenir, El",,PVR,"Mexico, Chiapas (MX-CHP)",17.455145,-92.328758
"Puente, El",,PUT,"Honduras, Cop�n (HN-CP)",15.110079,-88.791041
"Reinado, El",Ni'tuunal,,"Guatemala, Petén (GT-PE)",16.844444,-90.449167
"Resbalon, El",,RSB," Mexico, Quintana Roo (MX-ROO)",18.771389,-88.786667
"Retiro, El",,RTR,"Mexico, Chiapas (MX-CHP)",17.523793,-92.261839
"Rey, El",,REY," Mexico, Quintana Roo (MX-ROO)",21.061616,-86.7813
"Rosal, El",,RSL," Mexico, Campeche (MX-CAM)",20.147173,-90.105057
"Tabasqueño, El",,TBS," Mexico, Campeche (MX-CAM)",19.49917,-89.78472
"Temblor, El",,TMB,"Guatemala, Petén (GT-PE)",17.061667,-89.611667
"Tortuguero, El",,TRT,"Mexico, Tabasco (MX-TAB)",17.686038,-92.569127
"Zacatal, El",,," Mexico, Campeche (MX-CAM)",18.32667,-89.86694
"Zapote, El",,ZAP,"Guatemala, Petén (GT-PE)",17.02105,-89.64349
"Zotz, El",Xinoxultún = Dos Aguadas = El Diablo = El Sotz,ZTZ,"Guatemala, Petén (GT-PE)",17.23372,-89.82155
Flores,Noj Peten,FLS,"Guatemala, Petén (GT-PE)",16.930194,-89.891576
Hacienda Hotzuc,Hotzuc,HTZ,"Mexico, Yucatàn (MX-YUC)",20.805382,-89.692545
Halakal,,HLK,"Mexico, Yucatàn (MX-YUC)",20.690021,-88.536227
Hobomo,Xobomo,HBM," Mexico, Campeche (MX-CAM)",19.54863,-90.48769
Hochob,,HCH," Mexico, Campeche (MX-CAM)",19.408825,-89.770851
Holmul,La Riverita,HLM,"Guatemala, Petén (GT-PE)",17.31194,-89.27306
Hormiguero,,HRM," Mexico, Campeche (MX-CAM)",18.409722,-89.493056
Huacutal,Aguacatal,HUA,"Guatemala, Petén (GT-PE)",17.095278,-90.028333
Hun Nal Ye,,,"Guatemala, Alta Verapaz (GT-AV)",15.677686,-90.319565
Huntichmul,Huntichmul I,HNT,"Mexico, Yucatàn (MX-YUC)",20.122131,-89.588195
IchmulIchmul de Morley = Kumche,,ICL,"Mexico, Yucatàn (MX-YUC)",20.857557,-88.38127
IkilIki,,IKL,"Mexico, Yucatàn (MX-YUC)",20.614311,-88.814352
Itzan,,ITN,"Guatemala, Petén (GT-PE)",16.566667,-90.466667
Itzimte-Bolonchen,Itzimte = Bolonchen,ITB," Mexico, Campeche (MX-CAM)",20.01773,-89.7281
Ixkun,,IXK,"Guatemala, Petén (GT-PE)",16.573896,-89.409568
Ixlu,,IXL,"Guatemala, Petén (GT-PE)",16.97843,-89.68702
Ixtonton,,IXT,"Guatemala, Petén (GT-PE)",16.510148,-89.395934
Ixtutz,,IXZ,"Guatemala, Petén (GT-PE)",16.472963,-89.478321
Jaina,Island of Jaina = Isla de Jaina,JAI," Mexico, Campeche (MX-CAM)",20.209341,-90.486523
Jimbal,Bambunal,JMB,"Guatemala, Petén (GT-PE)",17.2825,-89.611944
Jolja,Ixtelha = Cueva de Jolja = Joloniel = Jolja',JOL,"Mexico, Chiapas (MX-CHP)",17.351417,-92.321555
Ka'Kabish,,,"Belize, Orange Walk (BZ-OW)",17.81611,-88.72972
Kabah,,KAB,"Mexico, Yucatàn (MX-YUC)",20.248921,-89.647778
Kaminaljuyu,,KJU,"Guatemala, Guatemala (GT-GU)",14.631257,-90.54847
Kayal,,KYL," Mexico, Campeche (MX-CAM)",19.66817,-90.14098
Kendal,,KEN,"Belize, Stann Creek (BZ-SC)",16.822541,-88.366402
Kichpanha,,KIP,"Belize, Orange Walk (BZ-OW)",17.996041,-88.46698
Kinal,Las Ruinas,KNL,"Guatemala, Petén (GT-PE)",17.69965,-89.245351
Kiuic,Kiwick = Kewick,KUC,"Mexico, Yucatàn (MX-YUC)",20.096485,-89.551165
Kohunlich,,KOH," Mexico, Quintana Roo (MX-ROO)",18.41966,-88.79079
"Amelia, La",,AML,"Guatemala, Petén (GT-PE)",16.52944,-90.42417
"Corona, La",,CRN,"Guatemala, Petén (GT-PE)",17.519746,-90.372226
Florida,LaOcultun = La Florida-Namaan = El Naranjo-Frontera,FLD,"Guatemala, Petén (GT-PE)",17.229708,-90.811744
Honradez, LaCorozalón,HRZ,"Guatemala, Petén (GT-PE)",17.59798,-89.28288
"Joyanca, La",,JOY,"Guatemala, Petén (GT-PE)",17.23769,-90.568789
Linterna, LaLa Linterna II,LTN,"Guatemala, Alta Verapaz (GT-AV)",16.037312,-90.227358
"Mar, LaRabbit Stone",,MAR,"Mexico, Chiapas (MX-CHP)",17.11178,-91.41003
"Milpa, La",,MLP,"Belize, Orange Walk (BZ-OW)",17.821111,-89.055833
Montura,LaKinin = La Monturita,MTR,"Guatemala, Petén (GT-PE)",17.208333,-89.988333
Muñeca,LaXamantun = El Mirador = La Gran Parada,MCA," Mexico, Campeche (MX-CAM)",18.219269,-89.612303
"Naya, La",,NAY,"Guatemala, Petén (GT-PE)",17.01617,-89.47767
"Pasadita, La",,PSD,"Guatemala, Petén (GT-PE)",16.990144,-91.055417
"Pochitoca, La",,PCT,"Guatemala, Petén (GT-PE)",17.109333,-89.394
Rejolla,LaLa Rejoya,REJ,"Guatemala, Petén (GT-PE)",16.799541,-89.201877
Sufricaya,LaEl Güiro,SUF,"Guatemala, Petén (GT-PE)",17.304166,-89.285166
Labna,,LAB,"Mexico, Yucatàn (MX-YUC)",20.17246,-89.578687
Lacanha,Lacanja = Lacanha Kuna = Nak Balum Winik,LAC,"Mexico, Chiapas (MX-CHP)",16.713757,-91.100146
Laguna Perdida, IILaguna Perdida,LGP,"Guatemala, Petén (GT-PE)",17.072833,-90.1855
Lamanai,,LMN,"Belize, Orange Walk (BZ-OW)",17.76505,-88.65299
Lashtunich,Laxtunich = Lamb Site = Site R,LTI,"Guatemala, Petén (GT-PE)",16.981835,-91.089809
Loltun,,LOL,"Mexico, Yucatàn (MX-YUC)",20.25353,-89.45597
"Alacranes, Los",,ALC," Mexico, Campeche (MX-CAM)",17.98167,-89.20944
